product_id,granularity,ts,unix_ts,open,high,low,close,volume,ingestion_batch_id,ingestion_ts,source,_source_window_start,_source_window_end,prev_close,return_simple,return_log,vol_30d,vol_30d_ann,median_return,abs_deviation,mad,z_score,is_anomaly
BTC-USD,86400,2024-01-29T00:00:00.000Z,1706486400,42034.57,43326.77,41787.35,43306.18,12529.09255982,bronze_20260126T193243Z_ff81293a,2026-01-26T19:32:44.003Z,coinbase_exchange,2024-01-27T19:32:35.735Z,2024-10-03T19:32:35.735Z,42034.59,0.030251038489967463,0.02980249923430879,null,null,0.0005036881194901219,0.02929881111481867,0.012143341575620081,1.6273755652456188,false
BTC-USD,86400,2024-01-30T00:00:00.000Z,1706572800,43303.3,43872.99,42680.2,42942.78,16384.61219735,bronze_20260126T193243Z_ff81293a,2026-01-26T19:32:44.003Z,coinbase_exchange,2024-01-27T19:32:35.735Z,2024-10-03T19:32:35.735Z,43306.18,-0.008391412034033041,-0.008426818142624196,0.02703220955736203,0.5164496384420211,0.0005036881194901219,0.008930506262114318,0.012143341575620081,-0.4960367715701345,false
BTC-USD,86400,2024-01-31T00:00:00.000Z,1706659200,42937.72,43741.94,42265.77,42548.08,15320.62044085,bronze_20260126T193243Z_ff81293a,2026-01-26T19:32:44.003Z,coinbase_exchange,2024-01-27T19:32:35.735Z,2024-10-03T19:32:35.735Z,42942.78,-0.009191300609788122,-0.00923380123772278,0.022308311916431425,0.4261997007327558,0.0005036881194901219,0.009737489357212902,0.012143341575620081,-0.54085990672682,false
BTC-USD,86400,2024-02-01T00:00:00.000Z,1706745600,42545.47,43276.19,41846.04,43078.81,11526.63383073,bronze_20260126T193243Z_ff81293a,2026-01-26T19:32:44.003Z,coinbase_exchange,2024-01-27T19:32:35.735Z,2024-10-03T19:32:35.735Z,42548.08,0.012473653335238533,0.012396498262699444,0.018686924831243703,0.3570131976156087,0.0005036881194901219,0.011892810143209323,0.012143341575620081,0.6605752210667434,false
BTC-USD,86400,2024-02-02T00:00:00.000Z,1706832000,43080.38,43700,42527.58,43181.66,12202.24125895,bronze_20260126T193243Z_ff81293a,2026-01-26T19:32:44.003Z,coinbase_exchange,2024-01-27T19:32:35.735Z,2024-10-03T19:32:35.735Z,43078.81,0.0023874847053575454,0.0023846391919283014,0.016270012376844365,0.31083815000909093,0.0005036881194901219,0.0018809510724381797,0.012143341575620081,0.10447570048875617,false
BTC-USD,86400,2024-02-03T00:00:00.000Z,1706918400,43183.62,43358.13,42863.58,43010.67,2254.45335539,bronze_20260126T193243Z_ff81293a,2026-01-26T19:32:44.003Z,coinbase_exchange,2024-01-27T19:32:35.735Z,2024-10-03T19:32:35.735Z,43181.66,-0.003959782926362787,-0.003967643624742888,0.015044868331821235,0.28743180589397316,0.0005036881194901219,0.0044713317442330106,0.012143341575620081,-0.2483560167733758,false
BTC-USD,86400,2024-02-04T00:00:00.000Z,1707004800,43007.82,43100,42228.01,42568.55,2643.251649,bronze_20260126T193243Z_ff81293a,2026-01-26T19:32:44.003Z,coinbase_exchange,2024-01-27T19:32:35.735Z,2024-10-03T19:32:35.735Z,43010.67,-0.010279309761972888,-0.010332506732659688,0.014739761863521342,0.2816027550017242,0.0005036881194901219,0.01083619485214981,0.012143341575620081,-0.601886494763257,false
BTC-USD,86400,2024-02-05T00:00:00.000Z,1707091200,42571.91,43520,42235,42657.67,8756.87806894,bronze_20260126T193243Z_ff81293a,2026-01-26T19:32:44.003Z,coinbase_exchange,2024-01-27T19:32:35.735Z,2024-10-03T19:32:35.735Z,42568.55,0.0020935643802759696,0.0020913759282799255,0.013646747963304635,0.26072075375868164,0.0005036881194901219,0.0015876878087898037,0.012143341575620081,0.08818666174328404,false
BTC-USD,86400,2024-02-06T00:00:00.000Z,1707177600,42658.3,43372.79,42516.07,43095.79,7940.36830921,bronze_20260126T193243Z_ff81293a,2026-01-26T19:32:44.003Z,coinbase_exchange,2024-01-27T19:32:35.735Z,2024-10-03T19:32:35.735Z,42657.67,0.0102706031529618,0.010218218881789374,0.013067335162738046,0.24965108774687023,0.0005036881194901219,0.009714530762299252,0.012143341575620081,0.5395846926497564,false
BTC-USD,86400,2024-02-07T00:00:00.000Z,1707264000,43097.16,44430,42760.44,44343.61,12440.36853251,bronze_20260126T193243Z_ff81293a,2026-01-26T19:32:44.003Z,coinbase_exchange,2024-01-27T19:32:35.735Z,2024-10-03T19:32:35.735Z,43095.79,0.028954568416079685,0.028543304678074564,0.014771843363459984,0.28221567119745106,0.0005036881194901219,0.028039616558584442,0.012143341575620081,1.557434759638341,false
