run_id,notebook_name,status,start_ts,end_ts,rows_processed,message
af8ad9ac,04_gold_anomalies,SUCCESS,2026-01-26T23:02:43.919Z,2026-01-26T23:02:51.380Z,2187,Anomaly detection pipeline completed (Zero-division check applied)
190fe021,test_setup,SUCCESS,2026-01-26T23:02:38.426Z,2026-01-26T23:02:38.426Z,10,Logging system fixed
